chrom	start	end	midpoint	window_bp	ctcf_count
chr2R	6016000	6018000	6017000	10000	0
chr2R	6036000	6038000	6037000	10000	0
chr2R	6086000	6088000	6087000	10000	0
chr2R	6132000	6134000	6133000	10000	0
chr2R	6152000	6154000	6153000	10000	0
chr2R	6214000	6216000	6215000	10000	0
chr2R	6272000	6274000	6273000	10000	0
chr2R	6298000	6300000	6299000	10000	0
chr2R	6348000	6350000	6349000	10000	0
chr2R	6434000	6436000	6435000	10000	0
chr2R	6446000	6448000	6447000	10000	1
chr2R	6480000	6482000	6481000	10000	0
chr2R	6614000	6616000	6615000	10000	1
chr2R	6628000	6630000	6629000	10000	0
chr2R	6634000	6636000	6635000	10000	0
chr2R	6662000	6664000	6663000	10000	1
chr2R	6676000	6678000	6677000	10000	0
chr2R	6716000	6718000	6717000	10000	1
chr2R	6758000	6760000	6759000	10000	1
chr2R	6808000	6810000	6809000	10000	1
chr2R	6888000	6890000	6889000	10000	0
chr2R	6972000	6974000	6973000	10000	0
chr2R	6986000	6988000	6987000	10000	0
chr2R	7004000	7006000	7005000	10000	0
chr2R	7062000	7064000	7063000	10000	0
chr2R	7236000	7238000	7237000	10000	0
chr2R	7278000	7280000	7279000	10000	1
chr2R	7384000	7386000	7385000	10000	0
chr2R	7408000	7410000	7409000	10000	0
chr2R	7454000	7456000	7455000	10000	1
chr2R	7474000	7476000	7475000	10000	0
chr2R	7496000	7498000	7497000	10000	2
chr2R	7534000	7536000	7535000	10000	1
chr2R	7590000	7592000	7591000	10000	0
chr2R	7598000	7600000	7599000	10000	0
chr2R	7636000	7638000	7637000	10000	1
chr2R	7654000	7656000	7655000	10000	0
chr2R	7676000	7678000	7677000	10000	0
chr2R	7700000	7702000	7701000	10000	0
chr2R	7712000	7714000	7713000	10000	0
chr2R	7726000	7728000	7727000	10000	0
chr2R	7736000	7738000	7737000	10000	0
chr2R	7786000	7788000	7787000	10000	1
chr2R	7828000	7830000	7829000	10000	1
chr2R	7916000	7918000	7917000	10000	0
chr2R	7940000	7942000	7941000	10000	1
chr2R	7956000	7958000	7957000	10000	0
chr2R	7990000	7992000	7991000	10000	0
chr2R	8068000	8070000	8069000	10000	0
chr2R	8080000	8082000	8081000	10000	0
chr2R	8174000	8176000	8175000	10000	0
chr2R	8252000	8254000	8253000	10000	2
chr2R	8396000	8398000	8397000	10000	0
chr2R	8600000	8602000	8601000	10000	0
chr2R	8632000	8634000	8633000	10000	2
chr2R	8666000	8668000	8667000	10000	0
chr2R	8734000	8736000	8735000	10000	1
chr2R	8892000	8894000	8893000	10000	1
chr2R	8952000	8954000	8953000	10000	0
chr2R	9092000	9094000	9093000	10000	0
chr2R	9114000	9116000	9115000	10000	0
chr2R	9132000	9134000	9133000	10000	0
chr2R	9178000	9180000	9179000	10000	0
chr2R	9192000	9194000	9193000	10000	0
chr2R	9252000	9254000	9253000	10000	1
chr2R	9292000	9294000	9293000	10000	0
chr2R	9400000	9402000	9401000	10000	0
chr2R	9424000	9426000	9425000	10000	0
chr2R	9446000	9448000	9447000	10000	0
chr2R	9542000	9544000	9543000	10000	0
chr2R	9566000	9568000	9567000	10000	0
chr2R	9578000	9580000	9579000	10000	0
chr2R	9594000	9596000	9595000	10000	0
chr2R	9606000	9608000	9607000	10000	1
chr2R	9694000	9696000	9695000	10000	0
chr2R	9820000	9822000	9821000	10000	1
chr2R	9836000	9838000	9837000	10000	0
chr2R	9848000	9850000	9849000	10000	0
chr2R	9864000	9866000	9865000	10000	1
chr2R	9910000	9912000	9911000	10000	0
chr2R	9950000	9952000	9951000	10000	1
chr2R	9972000	9974000	9973000	10000	0
chr2R	9990000	9992000	9991000	10000	0
chr2R	10026000	10028000	10027000	10000	0
chr2R	10052000	10054000	10053000	10000	0
chr2R	10076000	10078000	10077000	10000	0
chr2R	10098000	10100000	10099000	10000	1
chr2R	10118000	10120000	10119000	10000	1
chr2R	10136000	10138000	10137000	10000	0
chr2R	10252000	10254000	10253000	10000	1
chr2R	10288000	10290000	10289000	10000	0
chr2R	10418000	10420000	10419000	10000	0
chr2R	10430000	10432000	10431000	10000	0
chr2R	10480000	10482000	10481000	10000	0
chr2R	10528000	10530000	10529000	10000	1
chr2R	10558000	10560000	10559000	10000	1
chr2R	10646000	10648000	10647000	10000	0
chr2R	10740000	10742000	10741000	10000	0
chr2R	10808000	10810000	10809000	10000	0
chr2R	10838000	10840000	10839000	10000	0
chr2R	10876000	10878000	10877000	10000	0
chr2R	10898000	10900000	10899000	10000	0
chr2R	11020000	11022000	11021000	10000	1
chr2R	11134000	11136000	11135000	10000	1
chr2R	11238000	11240000	11239000	10000	0
chr2R	11278000	11280000	11279000	10000	1
chr2R	11308000	11310000	11309000	10000	0
chr2R	11348000	11350000	11349000	10000	0
chr2R	11372000	11374000	11373000	10000	0
chr2R	11408000	11410000	11409000	10000	2
chr2R	11452000	11454000	11453000	10000	1
chr2R	11582000	11584000	11583000	10000	1
chr2R	11620000	11622000	11621000	10000	1
chr2R	11652000	11654000	11653000	10000	0
chr2R	11668000	11670000	11669000	10000	1
chr2R	11848000	11850000	11849000	10000	0
chr2R	11892000	11894000	11893000	10000	0
chr2R	11970000	11972000	11971000	10000	0
chr2R	12044000	12046000	12045000	10000	0
chr2R	12140000	12142000	12141000	10000	0
chr2R	12180000	12182000	12181000	10000	0
chr2R	12200000	12202000	12201000	10000	1
chr2R	12320000	12322000	12321000	10000	0
chr2R	12338000	12340000	12339000	10000	0
chr2R	12436000	12438000	12437000	10000	1
chr2R	12508000	12510000	12509000	10000	0
chr2R	12572000	12574000	12573000	10000	0
chr2R	12594000	12596000	12595000	10000	2
chr2R	12612000	12614000	12613000	10000	0
chr2R	12626000	12628000	12627000	10000	0
chr2R	12636000	12638000	12637000	10000	0
chr2R	12666000	12668000	12667000	10000	0
chr2R	12692000	12694000	12693000	10000	0
chr2R	12760000	12762000	12761000	10000	0
chr2R	12866000	12868000	12867000	10000	0
chr2R	12880000	12882000	12881000	10000	0
chr2R	12916000	12918000	12917000	10000	0
chr2R	12936000	12938000	12937000	10000	0
chr2R	13044000	13046000	13045000	10000	3
chr2R	13132000	13134000	13133000	10000	0
chr2R	13168000	13170000	13169000	10000	0
chr2R	13240000	13242000	13241000	10000	2
chr2R	13332000	13334000	13333000	10000	2
chr2R	13346000	13348000	13347000	10000	1
chr2R	13406000	13408000	13407000	10000	0
chr2R	13438000	13440000	13439000	10000	0
