Chromosome,Plus_Count,Minus_Count,Total,Ratio_Minus/Plus
chrX_DS483963v1_random,2,0,2,0.000
chrY_DS483966v1_random,0,1,1,inf
chrUn_DS483970v1,2,0,2,0.000
chrX_DS483971v1_random,0,2,2,inf
chrX_DS483974v1_random,2,0,2,0.000
chrUn_DS483979v1,1,0,1,0.000
chrY_DS483988v1_random,0,1,1,inf
chrUn_DS483989v1,0,1,1,inf
chrX_DS483995v1_random,1,0,1,0.000
chrY_DS483996v1_random,0,2,2,inf
chrUn_DS483999v1,1,0,1,0.000
chrX_DS484002v1_random,0,2,2,inf
chrX_DS484005v1_random,0,1,1,inf
chrUn_DS484007v1,0,1,1,inf
chrUn_DS484009v1,1,0,1,0.000
chrUn_DS484025v1,0,1,1,inf
chrY_DS484029v1_random,0,1,1,inf
chrUn_DS484038v1,0,1,1,inf
chrY_DS484043v1_random,1,1,2,1.000
chrUn_DS484045v1,2,1,3,0.500
chrY_DS484049v1_random,0,1,1,inf
chrUn_DS484052v1,0,1,1,inf
chrY_DS484056v1_random,0,1,1,inf
chrX_DS484057v1_random,0,1,1,inf
chrUn_DS484059v1,0,1,1,inf
chrX_DS484060v1_random,0,1,1,inf
chrX_DS484061v1_random,1,0,1,0.000
chrUn_DS484062v1,1,0,1,0.000
chrX_DS484067v1_random,0,1,1,inf
chrX_DS484075v1_random,0,1,1,inf
chrUn_DS484076v1,1,1,2,1.000
chrUn_DS484077v1,1,0,1,0.000
chrUn_DS484079v1,1,0,1,0.000
chrUn_DS484080v1,2,1,3,0.500
chrUn_DS484083v1,2,0,2,0.000
chrX_DS484084v1_random,1,0,1,0.000
chrX_DS484085v1_random,2,0,2,0.000
chrUn_DS484087v1,2,0,2,0.000
chrUn_DS484090v1,1,0,1,0.000
chrUn_DS484091v1,1,0,1,0.000
chrUn_DS484097v1,0,1,1,inf
chrX_DS484099v1_random,2,0,2,0.000
chrX_DS484101v1_random,1,0,1,0.000
chrY_DS484103v1_random,1,0,1,0.000
chrUn_DS484104v1,0,1,1,inf
chrUn_DS484106v1,1,0,1,0.000
chrUn_DS484107v1,0,1,1,inf
chrUn_DS484113v1,0,2,2,inf
chrUn_DS484117v1,0,1,1,inf
chrUn_DS484120v1,0,1,1,inf
chrX_DS484124v1_random,0,2,2,inf
chrX_DS484125v1_random,0,1,1,inf
chrX_DS484130v1_random,0,1,1,inf
chrUn_DS484134v1,0,1,1,inf
chrX_DS484140v1_random,0,1,1,inf
chrX_DS484143v1_random,0,3,3,inf
chrUn_DS484144v1,0,1,1,inf
chrUn_DS484167v1,1,0,1,0.000
chrUn_DS484169v1,0,1,1,inf
chrY_DS484171v1_random,0,1,1,inf
chrUn_DS484176v1,1,0,1,0.000
chrX_DS484185v1_random,1,0,1,0.000
chrX_DS484187v1_random,0,1,1,inf
chrUn_DS484202v1,0,1,1,inf
chrX_DS484203v1_random,2,0,2,0.000
chrUn_DS484213v1,0,1,1,inf
chrX_DS484216v1_random,0,1,1,inf
chrUn_DS484217v1,1,0,1,0.000
chrUn_DS484222v1,0,1,1,inf
chrUn_DS484234v1,1,0,1,0.000
chrUn_DS484241v1,1,1,2,1.000
chrY_DS484250v1_random,1,0,1,0.000
chrUn_DS484253v1,2,0,2,0.000
chrUn_DS484254v1,0,1,1,inf
chrUn_DS484257v1,0,1,1,inf
chrUn_DS484267v1,0,1,1,inf
chrX_DS484268v1_random,1,0,1,0.000
chrY_DS484270v1_random,2,0,2,0.000
chrUn_DS484276v1,0,1,1,inf
chrUn_DS484283v1,1,1,2,1.000
chrUn_DS484287v1,1,0,1,0.000
chrUn_DS484296v1,1,1,2,1.000
chrX_DS484297v1_random,3,0,3,0.000
chrUn_DS484301v1,1,0,1,0.000
chrUn_DS484309v1,0,1,1,inf
chrUn_DS484311v1,2,2,4,1.000
chrUn_DS484312v1,1,0,1,0.000
chrX_DS484316v1_random,1,0,1,0.000
chrUn_DS484317v1,0,1,1,inf
chrX_DS484319v1_random,0,1,1,inf
chrX_DS484322v1_random,2,0,2,0.000
chrX_DS484326v1_random,0,2,2,inf
chrX_DS484328v1_random,1,0,1,0.000
chrX_DS484330v1_random,0,1,1,inf
chrUn_DS484331v1,1,1,2,1.000
chrUn_DS484340v1,1,0,1,0.000
chrX_DS484345v1_random,1,0,1,0.000
chrX_DS484346v1_random,0,2,2,inf
chrUn_DS484348v1,1,0,1,0.000
chrUn_DS484350v1,3,1,4,0.333
chrX_DS484359v1_random,1,0,1,0.000
chrX_DS484361v1_random,0,2,2,inf
chrUn_DS484363v1,0,1,1,inf
chrUn_DS484378v1,0,1,1,inf
chrUn_DS484380v1,1,2,3,2.000
chrUn_DS484385v1,0,1,1,inf
chrUn_DS484400v1,0,1,1,inf
chrUn_DS484407v1,1,0,1,0.000
chrX_DS484417v1_random,1,0,1,0.000
chrUn_DS484424v1,1,0,1,0.000
chrUn_DS484425v1,0,1,1,inf
chrUn_DS484426v1,0,1,1,inf
chrUn_DS484427v1,0,1,1,inf
chrUn_DS484435v1,1,0,1,0.000
chrUn_DS484445v1,1,0,1,0.000
chrUn_DS484446v1,1,0,1,0.000
chrUn_DS484460v1,0,1,1,inf
chrUn_DS484467v1,0,1,1,inf
chrUn_DS484480v1,1,0,1,0.000
chrUn_DS484484v1,0,2,2,inf
chrUn_DS484485v1,0,2,2,inf
chrUn_DS484489v1,0,1,1,inf
chrUn_DS484498v1,0,1,1,inf
chrUn_DS484501v1,1,0,1,0.000
chrUn_DS484511v1,0,1,1,inf
chrUn_DS484524v1,0,1,1,inf
chrUn_DS484528v1,1,0,1,0.000
chrY_DS484530v1_random,0,1,1,inf
chrUn_DS484539v1,0,1,1,inf
chrUn_DS484542v1,0,1,1,inf
chrUn_DS484544v1,0,1,1,inf
chrUn_DS484557v1,0,2,2,inf
chrUn_DS484561v1,0,1,1,inf
chrX_DS484563v1_random,1,0,1,0.000
chrY_DS484574v1_random,0,1,1,inf
chrUn_DS484591v1,1,0,1,0.000
chrUn_DS484592v1,0,1,1,inf
chrUn_DS484606v1,0,1,1,inf
chrY_DS484631v1_random,1,1,2,1.000
chrUn_DS484632v1,1,1,2,1.000
chrUn_DS484678v1,1,0,1,0.000
chrUn_DS484686v1,0,1,1,inf
chrX_DS484702v1_random,0,1,1,inf
chrUn_DS484713v1,0,1,1,inf
chrUn_DS484720v1,0,1,1,inf
chrUn_DS484735v1,0,1,1,inf
chrX_DS484737v1_random,0,1,1,inf
chrUn_DS484742v1,1,0,1,0.000
chrUn_DS484760v1,1,0,1,0.000
chrUn_DS484772v1,0,2,2,inf
chrY_DS484781v1_random,0,1,1,inf
chrUn_DS484797v1,0,1,1,inf
chrUn_DS484806v1,0,1,1,inf
chrY_DS484807v1_random,0,1,1,inf
chrUn_DS484841v1,1,1,2,1.000
chrUn_DS484846v1,0,1,1,inf
chrUn_DS484852v1,1,0,1,0.000
chrX_DS484857v1_random,1,0,1,0.000
chrUn_DS484870v1,1,0,1,0.000
chrUn_DS484874v1,0,1,1,inf
chrUn_DS484920v1,1,0,1,0.000
chrUn_DS484943v1,1,1,2,1.000
chrUn_DS484962v1,1,0,1,0.000
chrX_DS484963v1_random,0,2,2,inf
chrX_DS484968v1_random,1,0,1,0.000
chrUn_DS484982v1,1,0,1,0.000
chrY_DS484994v1_random,1,0,1,0.000
chrX_DS484997v1_random,2,0,2,0.000
chrUn_DS485004v1,0,1,1,inf
chrY_DS485013v1_random,0,1,1,inf
chrX_DS485017v1_random,0,1,1,inf
chrUn_DS485022v1,0,1,1,inf
chrUn_DS485032v1,1,0,1,0.000
chrY_DS485042v1_random,1,0,1,0.000
chrUn_DS485045v1,1,0,1,0.000
chrY_DS485051v1_random,1,0,1,0.000
chrX_DS485054v1_random,0,1,1,inf
chrUn_DS485062v1,0,1,1,inf
chrY_DS485070v1_random,1,0,1,0.000
chrUn_DS485079v1,1,1,2,1.000
chrY_DS485097v1_random,1,0,1,0.000
chrX_DS485111v1_random,0,1,1,inf
chrY_DS485113v1_random,1,0,1,0.000
chrUn_DS485136v1,1,0,1,0.000
chrY_DS485143v1_random,0,1,1,inf
chrY_DS485159v1_random,1,0,1,0.000
chrY_DS485166v1_random,0,1,1,inf
chrUn_DS485169v1,0,1,1,inf
chrUn_DS485174v1,0,1,1,inf
chrY_DS485178v1_random,0,1,1,inf
chrUn_DS485184v1,0,1,1,inf
chrX_DS485186v1_random,0,1,1,inf
chrX_DS485201v1_random,2,0,2,0.000
chrUn_DS485211v1,1,0,1,0.000
chrUn_DS485227v1,1,0,1,0.000
chrUn_DS485229v1,1,1,2,1.000
chrUn_DS485256v1,0,1,1,inf
chrX_DS485268v1_random,1,0,1,0.000
chrX_DS485278v1_random,1,0,1,0.000
chrX_DS485281v1_random,1,0,1,0.000
chrX_DS485287v1_random,1,0,1,0.000
chrUn_DS485292v1,1,0,1,0.000
chrX_DS485299v1_random,0,1,1,inf
chrX_DS485303v1_random,1,0,1,0.000
chrUn_DS485311v1,0,1,1,inf
chrY_DS485316v1_random,1,1,2,1.000
chrUn_DS485319v1,1,0,1,0.000
chrUn_DS485322v1,1,0,1,0.000
chrUn_DS485325v1,1,0,1,0.000
chrY_DS485329v1_random,1,0,1,0.000
chrY_DS485335v1_random,1,0,1,0.000
chrUn_DS485337v1,0,1,1,inf
chrUn_DS485341v1,0,1,1,inf
chrUn_DS485353v1,1,0,1,0.000
chrX_DS485360v1_random,0,1,1,inf
chrUn_DS485361v1,0,1,1,inf
chrUn_DS485368v1,0,1,1,inf
chrUn_DS485370v1,1,0,1,0.000
chrUn_DS485392v1,0,1,1,inf
chrUn_DS485410v1,1,0,1,0.000
chrY_DS485422v1_random,1,0,1,0.000
chrY_DS485427v1_random,0,1,1,inf
chrY_DS485430v1_random,1,0,1,0.000
chrY_DS485452v1_random,0,1,1,inf
chrUn_DS485462v1,0,1,1,inf
chrUn_DS485466v1,0,1,1,inf
chrY_DS485492v1_random,0,1,1,inf
chrUn_DS485501v1,1,0,1,0.000
chrUn_DS485517v1,2,1,3,0.500
chrUn_DS485527v1,0,1,1,inf
chrUn_DS485531v1,0,1,1,inf
chrY_DS485534v1_random,1,0,1,0.000
chrUn_DS485538v1,0,1,1,inf
chrUn_DS485540v1,0,1,1,inf
chrUn_DS485544v1,0,1,1,inf
chrX_DS485562v1_random,0,1,1,inf
chrUn_DS485582v1,2,0,2,0.000
chrUn_DS485587v1,1,1,2,1.000
chrX_DS485592v1_random,1,0,1,0.000
chrUn_DS485602v1,0,1,1,inf
chrX_DS485603v1_random,1,1,2,1.000
chrUn_DS485608v1,1,0,1,0.000
chrUn_DS485614v1,0,1,1,inf
chrY_DS485641v1_random,1,1,2,1.000
chrUn_DS485648v1,0,1,1,inf
chrUn_DS485655v1,0,1,1,inf
chrUn_DS485661v1,0,1,1,inf
chrUn_DS485682v1,0,1,1,inf
chrX_DS485691v1_random,1,0,1,0.000
chrX_DS485707v1_random,0,1,1,inf
chrUn_DS485742v1,1,0,1,0.000
chrY_DS485752v1_random,1,0,1,0.000
chrY_DS485776v1_random,1,0,1,0.000
chrY_DS485786v1_random,1,1,2,1.000
chrUn_DS485792v1,1,0,1,0.000
chrY_DS485795v1_random,0,1,1,inf
chrUn_DS485823v1,1,1,2,1.000
chrUn_DS485832v1,1,0,1,0.000
chrUn_DS485847v1,2,0,2,0.000
chrUn_DS485851v1,1,0,1,0.000
chrUn_DS485864v1,0,1,1,inf
chrX_DS485879v1_random,0,1,1,inf
chrUn_DS485897v1,0,1,1,inf
chrUn_DS485905v1,0,1,1,inf
chrY_DS485927v1_random,1,0,1,0.000
chrY_DS485963v1_random,0,1,1,inf
chrUn_DS485964v1,0,1,1,inf
chrY_DS485974v1_random,0,1,1,inf
chrUn_DS485986v1,1,0,1,0.000
chrUn_DS486004v1,0,1,1,inf
chrX,3100,3243,6343,1.046
chrY,283,333,616,1.177
TOTAL,17272,17112,34384,0.991
